word;living;non_living;contains_a;no_a;condition
albatross;1;0;1;0;1
alligator;1;0;1;0;1
alpaca;1;0;1;0;1
ant;1;0;1;0;1
antelope;1;0;1;0;1
ape;1;0;1;0;1
armadillo;1;0;1;0;1
avocado;1;0;1;0;1
baboon;1;0;1;0;1
banana;1;0;1;0;1
bear;1;0;1;0;1
camel;1;0;1;0;1
canary;1;0;1;0;1
catfish;1;0;1;0;1
cheetah;1;0;1;0;1
clam;1;0;1;0;1
cobra;1;0;1;0;1
coral;1;0;1;0;1
crab;1;0;1;0;1
crane;1;0;1;0;1
puma;1;0;1;0;1
bamboo;1;0;1;0;1
eagle;1;0;1;0;1
flamingo;1;0;1;0;1
gazelle;1;0;1;0;1
giraffe;1;0;1;0;1
grasshopper;1;0;1;0;1
hamster;1;0;1;0;1
hawk;1;0;1;0;1
hyena;1;0;1;0;1
elephant;1;0;1;0;1
jaguar;1;0;1;0;1
kangaroo;1;0;1;0;1
koala;1;0;1;0;1
ladybug;1;0;1;0;1
llama;1;0;1;0;1
seagull;1;0;1;0;1
zebra;1;0;1;0;1
panda;1;0;1;0;1
parrot;1;0;1;0;1
peach;1;0;1;0;1
piranha;1;0;1;0;1
plant;1;0;1;0;1
rabbit;1;0;1;0;1
raccoon;1;0;1;0;1
rat;1;0;1;0;1
salmon;1;0;1;0;1
shark;1;0;1;0;1
swan;1;0;1;0;1
tarantula;1;0;1;0;1
bee;1;0;0;1;2
beetle;1;0;0;1;2
birch;1;0;0;1;2
butterfly;1;0;0;1;2
cod;1;0;0;1;2
chicken;1;0;0;1;2
crow;1;0;0;1;2
dog;1;0;0;1;2
dolphin;1;0;0;1;2
duck;1;0;0;1;2
elk;1;0;0;1;2
fern;1;0;0;1;2
ferret;1;0;0;1;2
firefly;1;0;0;1;2
fish;1;0;0;1;2
fox;1;0;0;1;2
frog;1;0;0;1;2
gecko;1;0;0;1;2
gibbon;1;0;0;1;2
mosquito;1;0;0;1;2
horse;1;0;0;1;2
hummingbird;1;0;0;1;2
ivy;1;0;0;1;2
jellyfish;1;0;0;1;2
kiwi;1;0;0;1;2
lily;1;0;0;1;2
lion;1;0;0;1;2
lobster;1;0;0;1;2
lynx;1;0;0;1;2
mole;1;0;0;1;2
monkey;1;0;0;1;2
moose;1;0;0;1;2
moss;1;0;0;1;2
moth;1;0;0;1;2
mushroom;1;0;0;1;2
octopus;1;0;0;1;2
otter;1;0;0;1;2
owl;1;0;0;1;2
oyster;1;0;0;1;2
penguin;1;0;0;1;2
pig;1;0;0;1;2
pine;1;0;0;1;2
pigeon;1;0;0;1;2
python;1;0;0;1;2
robin;1;0;0;1;2
rose;1;0;0;1;2
sheep;1;0;0;1;2
tiger;1;0;0;1;2
turtle;1;0;0;1;2
wolf;1;0;0;1;2
alarm;0;1;1;0;1
amber;0;1;1;0;1
anchor;0;1;1;0;1
arch;0;1;1;0;1
attic;0;1;1;0;1
axle;0;1;1;0;1
backpack;0;1;1;0;1
badge;0;1;1;0;1
bandage;0;1;1;0;1
barrel;0;1;1;0;1
blanket;0;1;1;0;1
camera;0;1;1;0;1
candle;0;1;1;0;1
carpet;0;1;1;0;1
castle;0;1;1;0;1
chain;0;1;1;0;1
chalk;0;1;1;0;1
chair;0;1;1;0;1
compass;0;1;1;0;1
curtain;0;1;1;0;1
database;0;1;1;0;1
diamond;0;1;1;0;1
flag;0;1;1;0;1
flashlight;0;1;1;0;1
galaxy;0;1;1;0;1
gate;0;1;1;0;1
gravel;0;1;1;0;1
guitar;0;1;1;0;1
hammer;0;1;1;0;1
hat;0;1;1;0;1
jacket;0;1;1;0;1
lamp;0;1;1;0;1
lantern;0;1;1;0;1
magnet;0;1;1;0;1
map;0;1;1;0;1
marble;0;1;1;0;1
passport;0;1;1;0;1
paper;0;1;1;0;1
radar;0;1;1;0;1
road;0;1;1;0;1
sandpaper;0;1;1;0;1
sofa;0;1;1;0;1
stairs;0;1;1;0;1
stamp;0;1;1;0;1
statue;0;1;1;0;1
table;0;1;1;0;1
vase;0;1;1;0;1
wallet;0;1;1;0;1
watch;0;1;1;0;1
water;0;1;1;0;1
bell;0;1;0;1;2
belt;0;1;0;1;2
bench;0;1;0;1;2
bicycle;0;1;0;1;2
button;0;1;0;1;2
book;0;1;0;1;2
bottle;0;1;0;1;2
box;0;1;0;1;2
brick;0;1;0;1;2
bridge;0;1;0;1;2
brush;0;1;0;1;2
bucket;0;1;0;1;2
bulb;0;1;0;1;2
bus;0;1;0;1;2
button;0;1;0;1;2
chimney;0;1;0;1;2
clock;0;1;0;1;2
coin;0;1;0;1;2
comb;0;1;0;1;2
crown;0;1;0;1;2
cup;0;1;0;1;2
cushion;0;1;0;1;2
door;0;1;0;1;2
drill;0;1;0;1;2
drum;0;1;0;1;2
engine;0;1;0;1;2
exit;0;1;0;1;2
fence;0;1;0;1;2
filter;0;1;0;1;2
glove;0;1;0;1;2
gun;0;1;0;1;2
hook;0;1;0;1;2
horn;0;1;0;1;2
hose;0;1;0;1;2
iron;0;1;0;1;2
joint;0;1;0;1;2
key;0;1;0;1;2
lens;0;1;0;1;2
lock;0;1;0;1;2
mirror;0;1;0;1;2
mop;0;1;0;1;2
net;0;1;0;1;2
note;0;1;0;1;2
pen;0;1;0;1;2
phone;0;1;0;1;2
plug;0;1;0;1;2
pot;0;1;0;1;2
roof;0;1;0;1;2
truck;0;1;0;1;2
window;0;1;0;1;2
